0	1	n	8071.31713	0.00046
1	1	H	7288.97061	0.00009
1	2	H	13135.72176	0.00011
1	3	H	14949.80993	0.00022
2	3	He	14931.21793	0.00021
3	3	Li	28667#	2000#
1	4	H	24621.127	100
2	4	He	2424.91561	0.00006
3	4	Li	25323.189	212.132
1	5	H	32892.444	89.443
2	5	He	11231.233	20
3	5	Li	11678.886	50
4	5	Be	37139#	2003#
1	6	H	41875.721	254.127
2	6	He	17592.095	0.053
3	6	Li	14086.87895	0.00144
4	6	Be	18375.033	5.448
5	6	B	47320#	2003#
1	7	H	49135#	1004#
2	7	He	26073.126	7.559
3	7	Li	14907.10529	0.00423
4	7	Be	15768.999	0.071
5	7	B	27676.55	25.15
2	8	He	31609.681	0.089
3	8	Li	20945.804	0.047
4	8	Be	4941.671	0.035
5	8	B	22921.567	1
6	8	C	35064.268	18.243
2	9	He	40935.826	46.816
3	9	Li	24954.902	0.186
4	9	Be	11348.453	0.077
5	9	B	12416.488	0.903
6	9	C	28910.972	2.137
2	10	He	49197.143	92.848
3	10	Li	33052.624	12.721
4	10	Be	12607.488	0.081
5	10	B	12050.609	0.015
6	10	C	15698.672	0.07
7	10	N	38800.026	400
3	11	Li	40728.254	0.615
4	11	Be	20177.167	0.238
5	11	B	8667.707	0.012
6	11	C	10649.396	0.06
7	11	N	24303.559	46.154
3	12	Li	49009.571	30.006
4	12	Be	25077.76	1.909
5	12	B	13369.397	1.321
6	12	C	0	0
7	12	N	17338.068	1
8	12	O	31914.613	24
3	13	Li	56980.888	70.003
4	13	Be	33659.077	10.18
5	13	B	16561.947	1
6	13	C	3125.00888	0.00021
7	13	N	5345.481	0.27
8	13	O	23115.432	9.526
4	14	Be	39954.498	132.245
5	14	B	23663.685	21.213
6	14	C	3019.89278	0.00376
7	14	N	2863.41672	0.00019
8	14	O	8007.781	0.025
9	14	F	31964.402	41.119
4	15	Be	49825.815	165.797
5	15	B	28958.242	21.032
6	15	C	9873.144	0.8
7	15	N	101.43871	0.0006
8	15	O	2855.605	0.491
9	15	F	16566.751	14
10	15	Ne	40215.373	66.684
4	16	Be	57447.132	165.797
5	16	B	37112.51	24.569
6	16	C	13694.132	3.578
7	16	N	5683.907	2.301
8	16	O	-4737.00135	0.00016
9	16	F	10680.253	8.321
10	16	Ne	23986.776	20.48
5	17	B	43716.317	204.104
6	17	C	21031.898	17.365
7	17	N	7870.079	15
8	17	O	-808.76348	0.00066
9	17	F	1951.702	0.248
10	17	Ne	16500.447	0.354
11	17	Na	35173.214	1001.356
5	18	B	51792.634	204.165
6	18	C	24919.264	30
7	18	N	13113.168	18.57
8	18	O	-782.8156	0.00071
9	18	F	873.113	0.463
10	18	Ne	5317.614	0.363
11	18	Na	25037.988	93.881
5	19	B	59770.244	525.363
6	19	C	32413.752	98.389
7	19	N	15856.282	16.404
8	19	O	3332.858	2.637
9	19	F	-1487.4442	0.00086
10	19	Ne	1752.05	0.16
11	19	Na	12929.39	10.535
